start_time,end_time,text
175.239,178.065,"All right, all right, all
right, what's it going to be?"
178.282,180.674,A triple cream cup for Christopher...
180.892,183.371,A Squelchy Snorter for Otis...
183.545,185.998,A Sizzler for June Marie...
186.084,189.242,"- And listen! Wonka's got a new one today.
- What is it?"
189.459,191.895,This is called a Scrumdidilyumptious Bar.
192.107,195.07,"Scrumbibilyunctions Bar?
How does he do it?"
195.287,197.943,"- My dear boy, do you ask a fish how it swims?
- No."
197.974,199.723,"- Or a bird how it flies?
- No."
199.897,200.898,"No sirree, you don't!"
201.114,202.855,"They do it because they were
born to do it."
203.072,205.942,"Just like Willy Wonka was
born to be a candy man,"
206.15,208.813,"you look like you were
born to be a Wonkerer."
209.248,212.248,♪ Who can take a sunrise ♪
212.465,215.118,♪ Sprinkle it with dew ♪
216.119,219.728,"♪ Cover it in chocolate
And a miracle or two ♪"
219.946,221.598,♪ The Candy Man ♪
222.99,224.947,♪ The Candy Man can ♪
226.469,229.383,"♪ The Candy Man can
'Cause he mixes it with love ♪"
229.6,231.992,♪ And makes the world taste good ♪
233.601,236.776,♪ Who can take a rainbow ♪
236.994,238.95,♪ Wrap it in a sigh ♪
240.472,244.082,"♪ Soak it in the sun
And make a strawberry lemon pie ♪"
244.3,245.605,♪ The Candy Man? ♪
245.779,247.432,♪ The Candy Man! ♪
248.344,250.304,♪ The Candy Man can ♪
250.997,253.969,"♪ The Candy Man can
'Cause he mixes it with love ♪"
254.0,257.434,"- ♪ And makes the world taste good ♪
- Me! Me!"
258.13,259.608,♪ Willy Wonka makes ♪
259.825,261.305,♪ Everything he bakes ♪
261.522,264.957,♪ Satisfying and delicious ♪
265.132,268.002,♪ Talk about your childhood wishes ♪
268.176,271.699,♪ You can even eat the dishes ♪
282.31,284.31,♪ Who can take tomorrow ♪
284.528,286.702,♪ Dip it in a dream ♪
287.355,290.53,"♪ Separate the sorrow
And collect up all the cream ♪"
290.834,293.834,"- ♪ The Candy Man ♪
- ♪ Willy Wonka can ♪"
294.052,296.705,♪ The Candy Man can ♪
298.009,302.011,"♪ The Candy Man can
'Cause he mixes it with love ♪"
302.228,305.924,♪ And makes the world taste good ♪
307.751,309.534,♪ And the world tastes good ♪
310.882,315.884,♪ 'Cause the Candy Man thinks it should ♪
335.584,336.672,"Hi, Mr. Jopeck."
337.107,339.759,"Ah, come along, Charlie.
You're late."
341.716,343.369,"It's payday, Mr. Jopeck."
343.543,344.631,You're right.
345.414,347.762,"- There you are.
- Thanks."
348.545,350.501,"- Say hello to your Grandpa Joe.
- Okay."
393.817,395.949,Up the airy mountain
396.166,398.383,Down the rushing glen
398.601,400.733,We dare not go a-hunting
400.95,404.037,For fear of little men
404.333,405.622,You see...
406.821,408.604,Nobody ever goes in...
412.301,414.344,and nobody ever comes out!
424.826,426.26,Charlie's late.
426.478,429.131,He works too hard for a little boy.
429.349,431.479,He should have some time to play.
431.697,433.654,Not enough hours in the day.
433.871,436.112,"With the four of you bedridden
for the past twenty years,"
436.307,439.134,"it takes a lot of work
to keep this family going."
439.352,441.656,If only his father were alive.
441.874,445.484,"Soon as I get my strength back, I'm
gonna get out of this bed and help him."
445.701,448.876,"Dad, in all the years you've been saying
you're going to get out of that bed,"
449.31,452.181,"I've yet to see you set foot
on the floor."
452.306,455.759,Well... maybe if the floor wasn't so cold.
457.182,458.617,"Hi, everybody!"
459.4,462.052,Wake up. Charlie's home!
463.358,464.618,Grandpa George.
466.359,467.968,Grandma Georgina.
468.359,469.837,Grandma Josephine.
471.229,473.056,Grandpa Joe.
475.709,477.578,"Is this your supper, Grandpa?"
477.84,479.666,"Well, it's yours too, Charlie."
479.84,482.536,"I'm fed up with cabbage water.
It's not enough!"
482.754,483.914,"- Charlie!
- It's all we have."
484.059,485.755,What are you saying?
487.06,489.321,"- How about this?
- Charlie, where'd you get that?"
489.538,492.669,"What difference does it make where
he got it? Point is: he got it."
493.192,494.366,It's my first pay day.
494.583,497.367,"Good for you, Charlie.
We'll have a real banquet."
497.584,498.758,Mom...?
499.106,502.107,Here's what's left. You keep it.
502.759,504.369,Except for this.
504.585,507.282,"From now on, I'm going to
pay for your tobacco."
508.586,511.892,"No one's going to pay for it, Charlie.
I'm giving it up."
512.234,514.544,"Come on, Dad, it's only one pipe a day."
514.893,518.242,"When a loaf of bread looks like a
banquet, I've no right buying tobacco."
518.459,520.242,"Go on, Grandpa."
520.59,522.591,Please take it.
529.114,533.34,"After I finished my paper route,
I was in front of Wonka's."
533.511,535.816,There was this strange man there.
536.072,537.769,I think he was a tinker.
537.943,541.378,"He was standing right behind me,
looking up at the factory."
541.595,543.727,"Just before he left he said,"
543.944,547.205,"""Nobody ever goes in,
and nobody ever comes out."""
547.423,549.424,"And right he was, Charlie."
549.641,552.251,"Not since the tragic day
that Willy Wonka locked it."
552.468,553.555,Why'd he lock it?
553.816,557.121,"Because all the other chocolate makers
in the world were sending in spies,"
557.295,560.774,"dressed as workers, to steal
Mr. Wonka's secret recipes."
560.992,564.949,"Especially Slugworth... Oh,
that Slugworth, he was the worst!"
565.471,568.124,"Finally Mr. Wonka shouted
""I shall be ruined!"""
568.342,572.255,"""Close the factory!""
And that's just what he did."
572.473,575.995,"He locked the gates and
vanished completely."
576.3,579.127,"And then suddenly, about three years later,"
579.345,581.911,the most amazing thing happened.
582.128,584.737,"The factory started working
again, full blast!"
584.954,588.304,"And more delicious candies were
coming out than ever before."
588.52,591.652,"But the gates stayed
locked so that no one,"
591.826,594.61,"not even Mr. Slugworth, could steal them."
594.827,598.828,"But Grandpa, someone must be
helping Mr. Wonka work the factory."
599.002,600.829,Thousands must be helping him.
601.003,602.003,But who?
602.177,603.872,Who are they?
604.351,607.439,That is the biggest mystery of them all.
609.613,611.831,"- Charlie Bucket?
- Yes, Mr. Turkentine?"
612.049,614.223,"I shall need an assistant.
Come and give me a hand."
617.398,619.312,"We have here nitric acid, glycerine..."
619.486,621.616,"and a special mixture of
my own."
621.834,624.617,"Together it's horrible, dangerous stuff.
Blows you up."
624.835,628.836,"But mixed together in the right way, as only
I know how, what do you think it makes?"
629.054,630.488,"- I don't know, sir.
- Of course you don't know."
630.663,632.141,"You don't know
because only I know."
632.358,635.838,"If you knew and I didn't know, then you'd
be teaching me instead of me teaching you."
636.055,640.665,"And for a student to teach his teacher is
presumptuous and rude. Do I make myself clear?"
640.839,642.144,"- Yes, sir.
- Good."
642.361,646.71,"Now, mixed together in the right way
these three highly dangerous ingredients"
646.884,649.146,make the finest wart remover in the world.
649.494,652.147,"The trick is to pour them in in
equal amount."
652.363,655.625,"Now, Charlie, you take the
nitric acid and the glycerine,"
655.843,658.713,"and I'll take my own special
mixture. You ready?"
658.888,661.062,Good lad. Pour.
663.193,664.628,Did we do it wrong?
664.846,667.542,"No, certainly not. This
is for very big warts."
668.368,670.369,Now what's going on out there?
672.891,675.239,"You, Winkelmann, come here.
What's happening?"
675.37,677.73,"Willy Wonka's opening his factory.
He's gonna let people in."
678.022,678.937,Are you sure?
679.016,681.458,"It's on the radio. And he's giving
truckloads of chocolate away."
681.676,683.85,"- Class dismissed!
- No, no, it's only for five people."
684.85,686.547,Class un-dismissed.
686.721,689.634,"He's hidden five Golden Tickets, and the
people who find them will win the big prize."
689.852,691.071,Where's he hidden the tickets?
691.097,693.972,"Inside five Wonka Bars! You
gotta buy Wonka Bars to find 'em!"
694.022,695.972,Class re-dismissed!
707.073,709.161,"<i>And now, details on the sudden announcement</i>"
709.379,711.901,"that has captured the
attention of entire world."
712.075,714.728,"Hidden among the countless
billions of Wonka Bars"
714.946,716.859,"are five gold tickets,"
717.076,721.425,"and to the five people who find them will
come the most fabulous prize one could wish for:"
721.599,723.947,a lifetime supply of chocolate.
724.122,727.862,"<i>And as if this were not enough,
each winner before he receives his prize</i>"
728.08,729.863,"<i>will be personally escorted through
the top secret chocolate factory.</i>"
730.08,731.428,They're all crazy!
731.602,732.95,Sssshhh! The man's a genius!
733.124,734.777,He'll sell a million bars.
735.951,738.56,"Grandpa, do you think I've got a
chance to find one?"
738.778,741.474,One? I'm counting on you to find all five!
741.735,743.039,One's enough for me.
743.115,744.577,<i>Already we have reports coming in</i>
744.606,746.46,<i>that the response is phenomenal.</i>
746.514,748.444,<i>Wonka Bars are beginning to disappear</i>
748.475,751.694,"<i>from candy store shelves at
a rate to boggle the mind.</i>"
751.866,753.39,"<i>Truly it is incredible,</i>"
753.607,756.391,"<i>the way that Wonkamania
has descended upon the globe.</i>"
756.608,759.576,"<i>While the world searches, we
watch and wait,</i>"
759.623,763.914,"<i>wondering where the pursuit will lead and
how long the spirit of man will hold up</i>"
763.991,765.079,<i>under the strain.</i>
765.437,769.568,"I'm still having these dreams, Doctor, and I
still can't stop myself from believing them."
769.786,771.656,"I've told you, Mr. Hofstedder,"
771.83,774.656,"to believe in one's dreams
is a manifestation of insanity."
774.831,777.657,"And the sooner you accept this,
the sooner you will get well."
778.266,782.964,"But I dreamed the Archangel appeared and whispered
into my ear and told me where to find a Golden Wonka Ticket."
783.964,785.312,And what exactly did he say?
785.486,788.617,"Well what difference does that
make? This was a dream, a fantasy."
788.834,792.234,"- I mean, you said just now...
- Shut up, Hofstedder, and tell me where the ticket is!"
792.314,794.271,"We began with five Golden Tickets,"
794.488,799.098,"like five lucky bolts of lightning ready to
strike without notice at any point on the map."
799.316,802.186,"No one knew where, no one knew when the
first one would hit."
802.359,804.839,"But as you all know, last
night we got our answer."
805.013,808.361,"While we in America slept, the
first golden ticket was found"
808.535,811.623,"in the small town of
Duselheim, Germany."
811.797,816.32,"We've been waiting several hours for the follow-up
story and we're finally ready with a live report."
816.972,819.886,"Proud we are, for the attention
of the entire world"
820.016,822.148,focuses today right here in Duselheim.
822.365,824.887,A community suddenly thrust into prominence
825.018,828.671,"by the unexpected discovery of
the first Wonka Golden Ticket."
828.889,831.889,"Its lucky finder is the son of our
most prominent parve butcher."
832.063,834.759,"The boy's name?
Augustus Gloop."
834.898,840.022,"Augustus Gloop, the pride of Duselheim,
the fame of Western Germany,"
840.239,843.067,an example for the whole world.
843.24,846.241,"Augustus, how does it make you feel
to be the first Golden Ticket finder?"
846.415,848.024,"- Hungry.
- Any other feelings?"
848.241,851.242,"Feel sorry for Wonka.
It's gonna cost him a fortune in fudge."
851.677,853.851,"Mr. Gloop, would you mind saying..."
854.548,857.982,"Mrs. Gloop, would you care to say a few
words to the television audience?"
858.2,862.071,"I just knew Augustus would find a Golden Ticket.
Eating is his hobby, you know."
862.245,863.465,We encourage him...
868.856,870.9,"Happy Birthday, Charlie!"
872.899,874.248,"Here you are, Charlie."
874.422,875.9,Thank you.
882.598,883.599,It's terrific.
883.773,887.034,"We each knitted a bit: Grandma
Georgina, Grandma Josephine, and me."
887.209,889.731,I did the end pieces with the little tassels.
889.948,893.253,"And here's a little gift from
Grandpa George and me."
893.427,895.775,I think I know what this is.
896.775,899.385,"- It is! A Wonka!
- Open it, Charlie."
899.602,900.95,Let's see that Golden Ticket.
901.125,903.685,"- Wouldn't that be fantastic?
- It's not fair to raise his hopes."
903.951,906.778,"Never mind. Go on, open it, Charlie.
I want to see that gold."
906.952,908.214,"Stop it, Dad."
908.431,913.475,"- I've got the same chance as anybody else, haven't I?
- You've got more, Charlie, because you want it more."
913.737,915.128,"Go on, open it."
915.302,916.911,Here goes.
919.738,921.13,"- I got it!
- Where? Where?"
921.609,922.609,Let's see!
922.913,924.784,"Fooled you, didn't I?"
924.957,926.914,You thought I really had it.
928.436,930.393,"Never mind, Charlie."
930.61,932.133,You'll find one.
932.96,936.96,"- Here, everybody have a bite.
- No no no, you eat it."
948.093,950.877,"<i>I wanted to be the first to find
a Golden Ticket, Daddy.</i>"
951.094,954.313,"<i>I know, Angel.
We're doing the best we can.</i>"
954.486,957.226,"<i>I've got every girl on the
bleeding staff hunting for you.</i>"
957.401,959.618,"All right, where is it?
Why haven't they found it?"
959.836,962.968,"Veruca, sweetheart, I'm not a magician!"
963.445,964.489,Give me time!
964.663,967.794,"I want it now! What's the matter
with those twerps down there?"
968.012,971.491,"For five days now the entire
flipping factory's been on the job."
971.665,974.405,"They haven't shelled a peanut
in there since Monday."
974.622,978.102,"They've been shelling flaming
chocolate bars from dawn to dusk."
978.319,979.668,Make 'em work nights.
981.668,983.451,"Come along, come along,
you girls,"
983.669,986.495,"put a jack in it or you'll be out
on your ears, every one of you!"
986.756,987.818,And listen to this.
987.849,993.105,"The first girl that finds a Golden Ticket
gets a one pound bonus in her pay bucket!"
993.323,995.019,What do you think of that?
997.107,998.542,They're not even trying.
998.76,1001.108,"They don't want to find it.
They're jealous of me."
1001.325,1003.5,"Sweetheart, I can't push 'em no harder."
1003.76,1006.066,"Nineteen thousand bars
an hour they're shelling."
1006.283,1008.631,"Seven hundred and sixty
thousand they've done so far."
1008.849,1009.893,"You promised, Daddy!"
1010.11,1012.719,"You promised I'd have
it the very first day!"
1012.936,1016.807,"You're going to very unpopular around here,
Henry, if you don't deliver soon."
1017.069,1020.33,"It breaks my heart, Henrietta.
I hate to see her unhappy."
1020.547,1022.069,I won't talk to you ever again.
1022.287,1025.593,"You're a rotten, mean father.
You never give me anything I want."
1025.766,1027.593,And I won't go to school 'til I have it.
1027.767,1030.376,"Veruca, sweetheart, angel..."
1030.724,1033.334,"Now. There are only four
tickets left in the whole world,"
1033.551,1036.161,"and the whole ruddy
world's hunting for them."
1036.377,1037.204,What can I do?
1038.465,1040.727,"I got it! I got it, Mr. Salt, here it is!"
1042.728,1045.641,It's about time too! I want it!
1050.555,1053.512,Give me that ticket! It's mine!
1053.73,1056.209,I've found a Golden Ticket!
1061.906,1062.95,Thank God for that.
1063.168,1066.299,"Aye. Happiness is what
counts with children."
1066.472,1068.56,Happiness and harmony.
1069.778,1073.778,"This, ladies and gentlemen, is the sign of
our times, the symbol of the havoc,"
1073.996,1076.693,"the mad craze that's
sweeping the world today."
1076.91,1081.042,"Whatever corner of the globe we are in,
whichever of the five continents we're on,"
1081.259,1084.006,"the great search for
Wonka Bars continues."
1084.107,1088.373,"We're now nearing the end of our forty-third
day in the hunt for Golden Tickets,"
1088.42,1091.509,"<i>and everywhere we're beginning
to see signs of anxiety.</i>"
1092.001,1093.132,"<i>Every hour on the hour,</i>"
1093.349,1096.002,"<i>new shipments are being sent to
different points around the globe,</i>"
1096.35,1098.351,<i>but they're just not moving fast enough.</i>
1098.612,1103.003,"And as time passes, the men who seek
them become more and more desperate."
1103.178,1107.31,"Gentlemen, I know how anxious you've
all been during these last few days,"
1107.527,1109.919,but now I think I can safely say
1110.137,1112.833,"that your time and money
have been well spent."
1113.268,1117.051,"We're about to witness the greatest
miracle of the machine age."
1117.269,1121.095,"Based on the revolutionary Computonian
Law of Probability this machine"
1121.313,1125.358,"will tell us the precise location
of the three remaining"
1125.793,1127.446,Golden Tickets.
1136.23,1136.926,It says:
1137.144,1139.971,"""I won't tell. That
would be cheating."""
1146.406,1148.712,"I am now telling the computer that,"
1148.886,1152.93,"if it will tell me the correct answer,
I will gladly share with it"
1153.147,1154.93,the grand prize.
1159.584,1160.193,He says:
1160.411,1165.151,"""What would a computer do with
a lifetime supply of chocolate?"""
1169.326,1174.24,"I am now telling the computer exactly what he
can do with a lifetime supply of chocolate."
1176.675,1179.894,"<i>And it can happen right here too,
unbelievable as it sounds</i>"
1180.111,1181.721,<i>right here in America.</i>
1181.938,1186.591,"<i>Where even in the smallest town,
the happiest of dreams can come true.</i>"
1186.722,1188.026,"<i>Because folks, here she is.</i>"
1188.374,1192.071,"<i>Miss Violet Beauregarde, finder of
Wonka's Golden Ticket Number Three,</i>"
1192.289,1193.984,"<i>from Miles City, Montana.</i>"
1194.202,1195.594,"<i>And with her, the proud parents:</i>"
1195.767,1199.127,"<i>Mr. Beauregarde, a prominent local
politician, a great civic leader, a philosopher...</i>"
1199.203,1201.404,"<i>Hi, folks, Sam Beauregarde here,
Square Deal Sam to you,</i>"
1201.552,1203.465,<i>with all of today's great give-away bargains.</i>
1203.726,1206.086,"<i>The finest values you'll get
anywhere in the entire country.</i>"
1206.292,1208.423,"<i>- Now this little number right here's a four door sedan...
- Come on, Dad, they don't want you!</i>"
1208.64,1210.467,"<i>- Violet, would you care to say a few words to the nation?
- Sure I will.</i>"
1210.728,1213.335,"<i>Here it is, Golden Ticket Number
Three, and it's all mine.</i>"
1213.366,1214.639,"<i>Tell us how it happened, Violet.</i>"
1214.679,1217.948,"<i>Well I'm a gum-chewer, normally, but when
I heard about these ticket things of Wonka's,</i>"
1218.122,1220.252,"<i>I laid off the gum and
switched to candy bars instead.</i>"
1221.079,1222.862,"<i>Now, of course, I'm right back on gum.</i>"
1223.079,1225.863,"<i>I chew it all day except at meal
times when I stick it behind my ear.</i>"
1226.08,1227.602,"<i>- Violet...
- Cool it, Mother.</i>"
1227.82,1232.69,"<i>Now this piece of gum here is one that I've been chewing
on for three months solid, and that's a world record.</i>"
1232.907,1236.126,"<i>It's beaten the record held by my best
friend Miss Cornelia Prinzmetel,</i>"
1236.343,1238.126,<i>and was she mad!</i>
1238.344,1239.779,"<i>Hi, Cornelia, how are you sweetie?</i>"
1239.997,1244.277,"<i>Let me just butt in here for a moment to say that if
any of you folks watching are dissatisfied with your...</i>"
1253.856,1257.795,"- Charlie, what are you doing here?
- I thought if you were ready, I'd walk you home."
1258.001,1261.132,"I wish I were, but it looks like I'm
gonna be here late tonight."
1261.35,1263.959,"Oh, well, then I guess I'll be going."
1264.177,1265.916,Well why don't you stay a minute?
1266.09,1269.178,"Here, pull up a pile of clothes and sit down."
1271.788,1273.309,Everything all right at school?
1273.527,1274.31,Yep.
1274.527,1275.615,Good.
1276.44,1278.05,Go on your newspaper route today?
1278.267,1279.224,Just finished.
1279.441,1280.529,Good.
1283.225,1285.269,I wanted to tell you something.
1288.14,1289.836,They found the third ticket today.
1290.053,1291.315,Did they?
1291.756,1292.866,Yeah.
1293.451,1294.381,Well...
1295.055,1296.708,Guess I'll be going now.
1298.056,1299.23,Is that all?
1300.49,1302.361,Well I thought you'd like to know.
1302.578,1306.188,"Most people are pretty interested.
I know I'm interested."
1306.406,1309.58,"There are only two tickets
left, you know. Just two."
1309.798,1311.624,Pretty soon just one.
1311.798,1313.538,I wonder who the lucky ones will be.
1313.755,1315.8,"Well in case you're wondering
if it'll be me, it won't be."
1315.973,1318.887,"Just in case you're wondering,
you can count me out."
1319.142,1322.453,"Charlie, there are a hundred
billion people in this world,"
1322.67,1325.801,"and only five of them
will find Golden Tickets."
1326.019,1329.194,"Even if you had a sackful of money
you probably wouldn't find one."
1329.411,1334.065,"And after this contest is over, you'll be no different
from the billions of others who didn't find one."
1334.239,1337.066,"But I am different. I want it
more than any of them."
1337.27,1341.457,"Charlie, you'll get your chance.
One day things will change."
1341.675,1344.024,When? When will they change?
1344.285,1346.59,Probably when you least expect it.
1349.851,1350.939,See you later.
1364.768,1369.478,"♪ You get blue
Like everyone ♪"
1369.64,1373.088,♪ But me and Grandpa Joe ♪
1373.206,1377.612,♪ Can make your troubles go away ♪
1377.685,1380.94,♪ Blow away ♪
1380.995,1384.877,♪ There they go ♪
1385.643,1388.932,"<i>♪ Cheer up, Charlie ♪</i>"
1389.018,1391.559,<i>♪ Give me a smile ♪</i>
1392.001,1398.532,"<i>♪ What happened to that smile
I used to know ♪</i>"
1398.821,1400.952,<i>♪ Don't you know your grin ♪</i>
1401.169,1405.318,"<i>♪ Has always been
My sunshine ♪</i>"
1405.732,1411.428,<i>♪ Let that sunshine show ♪</i>
1411.955,1415.486,"♪ Come on, Charlie ♪"
1415.79,1418.348,♪ No need to frown ♪
1418.913,1420.609,♪ Deep down you know ♪
1420.744,1425.736,♪ The world is still your toy ♪
1425.915,1428.376,<i>♪ When the world gets heavy ♪</i>
1428.423,1431.798,<i>♪ Never pit-a-pat 'em ♪</i>
1432.265,1437.6,"<i>♪ Up and at 'em, boy ♪</i>"
1438.353,1440.843,<i>♪ Someday ♪</i>
1440.962,1443.569,<i>♪ Sweet as a song ♪</i>
1443.757,1449.813,<i>♪ Charlie's lucky day will come along ♪</i>
1450.383,1456.819,"<i>♪ 'Til that day
You've gotta stay in strong, Charlie ♪</i>"
1457.307,1464.171,"<i>♪ Up on top
Is right where you belong ♪</i>"
1464.49,1467.795,"<i>♪ Look up, Charlie ♪</i>"
1468.23,1471.188,<i>♪ You'll see a star ♪</i>
1471.405,1473.065,<i>♪ Just follow it ♪</i>
1473.135,1478.229,<i>♪ And keep your dream in view ♪</i>
1478.494,1485.431,"<i>♪ Pretty soon the sky
Is gonna clear up, Charlie ♪</i>"
1485.974,1491.88,"<i>♪ Cheer up, Charlie, do ♪</i>"
1492.585,1496.94,"<i>♪ Cheer up, Charlie ♪</i>"
1497.108,1505.917,♪ Just be glad you're you ♪
1510.502,1512.262,"While the rest of the world
goes on searching,"
1512.416,1514.257,"here in the Southwest
it has actually happened."
